sq_candidato,grau_instrucao,ocupacao,estado_civil,cor_raca,data_nascimento,foto_url,sites_tse,bens_total,prestacao_total_recebido,prestacao_total_despesas_contratadas,prestacao_total_despesas_pagas,prestacao_data_atualizacao,tse_divulga_url
180002534822,Superior completo,Servidor Público Estadual,Casado(a),PARDA,1968-11-20,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002534822/PI,,100566.37,150000,134689.4,40963.4,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002534822/2026/PI
180002534814,Superior completo,Enfermeiro,Divorciado(a),BRANCA,1979-05-28,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002534814/PI,,233000,153250,124419.9,124419.9,11/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002534814/2026/PI
180002554507,Superior incompleto,Administrador,Solteiro(a),PARDA,1978-01-27,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002554507/PI,https://www.instagram.com/angel.guimaraess/,,,,,1989-12-31,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002554507/2026/PI
180002548645,Superior completo,Advogado,Solteiro(a),BRANCA,1991-02-20,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002548645/PI,https://INSTAGRAM: SAMUELCOELHOPI  E SAMUELCOELHOPOLITICA  FACE: SAMUEL COÊLHO,,100000,51853.38,51853.38,11/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002548645/2026/PI
180002554487,Ensino Médio completo,Policial Militar,Solteiro(a),PARDA,1979-09-09,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002554487/PI,,,,,,1989-12-31,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002554487/2026/PI
180002552114,Superior completo,Policial Militar,Divorciado(a),PRETA,1982-09-23,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002552114/PI,,,11782.98,5000,,15/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002552114/2026/PI
180002551960,Superior completo,Advogado,Solteiro(a),BRANCA,1968-03-27,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002551960/PI,,,5000,5169.6,5169.6,17/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002551960/2026/PI
180002539022,Superior completo,Empresário,Casado(a),BRANCA,1983-12-17,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002539022/PI,HTTPS://WWW.INSTAGRAM.COM/RAIMUNDOSOUSA_11 | HTTPS://WWW.FACEBOOK.COM/RAYMOND.SOUSA.9 | HTTPS://WWW.TIKTOK.COM/@RAIMUNDOSOUSA_11,809485.23,197675.67,78245,69445,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002539022/2026/PI
180002539028,Superior completo,Analista de Sistemas,Casado(a),PRETA,1975-01-30,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002539028/PI,https://PAZXH0BGNHZW0CMTEAC3J0YWZHCHBFAWQPOTM2NJE5NZQZMZKYNDU5AAGNQN5O7FVVUMGB8G_OSWHBXL | HTTPS://WWW.INSTAGRAM.COM/JONASBARROSO1ML/ | https://jonasbarroso.com.br | HTTPS://WWW.FACEBOOK.COM/JONASBARROSO1ML?LOCALE=PT_BR | https://www.facebook.com/share/1D1S5RaM1W/ | https://www.tiktok.com/@jonas.barroso.pp/video/7611164253877292308,,155675.67,76338.86,71338.86,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002539028/2026/PI
180002540679,Ensino Médio completo,Vendedor de Comércio Varejista e Atacadista,Casado(a),PARDA,1991-08-12,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002540679/PI,https://INSTAGRAM.COM/JESSICALINE_ALVES2198,,,,,10/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002540679/2026/PI
180002540689,Superior incompleto,Empresário,Divorciado(a),PRETA,1978-11-16,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002540689/PI,https://INSTAGRAM.COM/MAURICIODESOUSA_33,345039.12,6000,4000,,11/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002540689/2026/PI
180002539127,Superior completo,Empresário,Casado(a),PARDA,1966-02-14,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002539127/PI,https://linktr.ee/julioarcoverde | HTTPS://M.YOUTUBE.COM/@JULIOARCOVERDE?RA=M | https://music.apple.com/br/album/o-federal-do-piau%C3%AD-%C3%A9-1111-single/6805757978 | HTTPS://JULIOARCOVERDE.COM.BR | HTTPS://WWW.INSTAGRAM.COM/JULIOARCOVERDE?IGSH=CGU4ZHYWEDEXNGVR | HTTPS://WWW.THREADS.COM/@JULIOARCOVERDE?IGSHID=NTC4MTIWNJQ2YQ== | HTTPS://X.COM/JULIOARCOVERDE?S=11&T=9NOAXVEZDWUJCFT40QBE9G | HTTPS://WWW.TIKTOK.COM/@DEPUTADOJULIOARCOVERDE?_R=1&_T=ZS-98RLEUHLENM | HTTPS://WWW.FACEBOOK.COM/DEPJULIOARCOVERDE | https://open.spotify.com/intl-pt/album/3kKW8oWheA873huKE6PWH0,2658700.12,3275173.21,1806038.36,1206148.85,14/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002539127/2026/PI
180002539128,Superior completo,Empresário,Casado(a),BRANCA,1991-09-20,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002539128/PI,HTTPS://WWW.INSTAGRAM.COM/EMANOELPAIVAPI/ | https://WWW.TIKTOK.COM/@EMANOELPAIVAPI/ | HTTPS://WWW.FACEBOOK.COM/EMANOEL.PAIVA.50/,408229.33,2947966.86,1587000.57,1331000.57,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002539128/2026/PI
180002539129,Superior completo,Enfermeiro,Solteiro(a),PARDA,1967-11-25,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002539129/PI,https://www.instagram.com/vania_csantoos | HTTPS://WWW.INSTAGRAM.COM/P/DYWP0QNOJFR/ | https://www.tiktok.com/@enfvaniacarvalho?_r=1&_t=ZS-99OgvpvEhpE,,375675.67,227489.4,179247.4,11/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002539129/2026/PI
180002539134,Superior completo,Jornalista e Redator,Casado(a),BRANCA,1981-06-09,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002539134/PI,https://samanthacavalca.com/ | HTTPS://WWW.FACEBOOK.COM/SAMANTHACAVALCAPIAUI/ | HTTPS://WWW.KWAI.COM/@SAMANTHACAVALCA | HTTPS://WWW.INSTAGRAM.COM/SAMANTHACAVALCA | HTTPS://WWW.TIKTOK.COM/@SAMANTHACAVALCA | HTTPS://X.COM/SAMANTHACAVALCA?LANG=EN,198611.27,2598675.67,1854580.52,1361795.22,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002539134/2026/PI
180002533194,Superior completo,Nutricionista e Assemelhados,Divorciado(a),BRANCA,1968-07-28,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002533194/PI,,350000,344476.56,326853.6,243837.6,16/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002533194/2026/PI
180002536461,Superior completo,Deputado,Casado(a),BRANCA,1974-04-23,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536461/PI,HTTPS://WWW.FACEBOOK.COM/JOSEDIASDECASTRONETO | HTTPS://WWW.INSTAGRAM.COM/CASTRONETOPI,2891573.52,2105465.75,2239217,1770947.52,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536461/2026/PI
180002536458,Superior completo,Policial Militar,Casado(a),BRANCA,1987-11-26,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536458/PI,HTTPS://WWW.INSTAGRAM.COM/ENF.ANTONIONETO/ | HTTPS://WWW.FACEBOOK.COM/ANTONIO.NETO.19862,120468.12,400000,396615.76,378115.76,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536458/2026/PI
180002532479,Superior completo,Deputado,Casado(a),PRETA,1979-10-14,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002532479/PI,http://x.com/drfranciscopi | https://www.tiktok.com/@drfranciscopiaui?_r=1&_t=ZS-98RNtPeuftw | https://www.instagram.com/drfranciscopiaui?igsh=MXRrbnc0OW8yYWpk&utm_source=qr | https://www.facebook.com/share/1DSUzqMNpZ/?mibextid=wwXIfr | https://www.youtube.com/@franciscocostapi,1081617.79,1929057,1213671.67,672738.31,15/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002532479/2026/PI
180002532475,Superior completo,Deputado,Casado(a),BRANCA,1969-10-05,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002532475/PI,HTTPS://WWW.INSTAGRAM.COM/FLORENTINOVERASNETO/,1312426.51,1850397.25,1683678.96,1122797.12,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002532475/2026/PI
180002532478,Superior completo,Servidor Público Estadual,Divorciado(a),PARDA,1983-08-31,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002532478/PI,https://despertadordocharles.com.br/ | https://@DELEGADOCHARLESPESSOA | https://www.facebook.com/61589955275655 | https://www.tiktok.com/@delegadocharlespessoa?_r=1&_t=zs-98dzqt9ojdq | https://k.kwai.com/u/@dpccharlespessoa/yA5CaW6q | https://youtube.com/@delegadocharlespessoa?si=BJe8s7bingbUHdlN | https://www.instagram.com/delegadocharlespessoa?igsh=MW0wdjd2djRzOTQwZA%3D%3D&utm_source=qr,1580000,1135077.67,719951.74,325333.14,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002532478/2026/PI
180002532482,Superior completo,Veterinário,Casado(a),BRANCA,1977-10-02,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002532482/PI,HTTPS://WWW.INSTAGRAM.COM/RAISSAPROTETORA/,,475693.19,468892.63,322577.63,17/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002532482/2026/PI
180002537001,Ensino Médio completo,Outros,Casado(a),BRANCA,1968-02-20,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002537001/PI,HTTPS://WWW.INSTAGRAM.COM/ANALINANERES,,40000,18150,14900,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002537001/2026/PI
180002536996,Ensino Médio completo,Outros,Solteiro(a),PARDA,1970-04-08,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536996/PI,HTTPS://WWW.INSTAGRAM.COM/SOCORRO_SANTOS007/ | HTTPS://WEB.FACEBOOK.COM/SOCORRODAMADRETERESA10,45000,90000,56170,40870,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536996/2026/PI
180002534439,Ensino Médio completo,Eletricista e Assemelhados,Solteiro(a),PARDA,1959-08-24,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002534439/PI,HTTPS://WWW.FACEBOOK.COM/ALBERTINORIBEIRODASILVA.RIBEIRO | HTTPS://WWW.INSTAGRAM.COM/ALBERTINORIBE,140000,4000,,,09/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002534439/2026/PI
180002534434,Ensino Médio completo,Outros,Viúvo(a),PARDA,1962-01-30,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002534434/PI,,240,3500,3500,3500,09/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002534434/2026/PI
180002552094,Superior completo,Jornalista e Redator,Divorciado(a),PRETA,1972-11-19,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002552094/PI,,,,,,,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002552094/2026/PI
180002544105,Superior completo,Servidor Público Federal,Casado(a),BRANCA,1982-08-25,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002544105/PI,https://INSTAGRAM.COM/FABRICIOLOIOLAPI/,90000,663800,571368.43,511310.57,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002544105/2026/PI
180002548564,Superior completo,Professor de Ensino Médio,Casado(a),PARDA,1988-06-09,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002548564/PI,HTTPS://X.COM/MARCOSFONSECAPI | HTTPS://WWW.INSTAGRAM.COM/MARCOS_AURELIO_PROFESSOR?IGSH=AWH4N29REGD4YTNI,918000,10000,4600,,17/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002548564/2026/PI
180002554035,Ensino Médio completo,Servidor Público Estadual,Solteiro(a),PARDA,1986-03-10,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002554035/PI,,,20000,4000,,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002554035/2026/PI
180002541695,Superior completo,Advogado,Solteiro(a),PARDA,1981-09-09,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002541695/PI,,20894.71,,,,1989-12-31,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002541695/2026/PI
180002541694,Ensino Médio incompleto,Outros,Solteiro(a),PRETA,1985-05-21,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002541694/PI,https://INSTAGRAM.COM/ALEXANDRE21048,85525.08,,,,11/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002541694/2026/PI
180002548690,Ensino Médio completo,Comerciante,Casado(a),PARDA,1973-09-07,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002548690/PI,"https://INSTAGRAM, FACEBOOK E YOUTUBE:@NATANAELVIDABOA",514900,100200,90332,90332,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002548690/2026/PI
180002548688,Ensino Fundamental completo,Empresário,Casado(a),PARDA,1968-01-06,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002548688/PI,,,100000,64752,36252,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002548688/2026/PI
180002533967,Superior completo,Senador,Casado(a),BRANCA,1950-06-09,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002533967/PI,HTTPS://BSKY.APP/PROFILE/MARCELOCASTROPI.BSKY.SOCIAL | HTTPS://WWW.YOUTUBE.COM/PLAYLIST?LIST=PLLLNYTNGOQIYZ4QOKNC9KMO78SW4DDTJ9 | HTTPS://WWW.FACEBOOK.COM/MARCELOCASTROPIAUII/?LOCALE=PT_BR | HTTPS://X.COM/MARCELOCASTROPI?S=11&T=CQ2F1NNPNQVXFJPR7HUCQA | HTTPS://MARCELOCASTROPIAUI.COM.BR | HTTPS://WWW.INSTAGRAM.COM/MARCELOCASTROPI/ | HTTPS://WWW.TIKTOK.COM/@MARCELOCASTROPI?_R=1&_T=ZS-98RKE3DBVFR | HTTPS://WWW.FLICKR.COM/PHOTOS/SENADORMARCELOCASTRO/ | HTTPS://WWW.THREADS.COM/@MARCELOCASTROPI?IGSHID=NTC4MTIWNJQ2YQ==,16046199.1,3155508.05,2253438.5,1501849.16,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002533967/2026/PI
180002540446,Superior completo,Empresário,Casado(a),BRANCA,1968-11-21,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002540446/PI,HTTPS://WWW.TIKTOK.COM/@CIRONOGUEIRAOFICIAL | https://www.instagram.com/piauicomciro/ | https://music.apple.com/br/artist/ciro-nogueira/6796064638 | https://open.spotify.com/show/5bmOFg0tUNssISIp4sF17i | https://www.instagram.com/picoscomciro/ | https://www.instagram.com/meusenadorciro/ | https://www.deezer.com/br/artist/406982592 | https://www.instagram.com/euecascadebalapi/ | https://www.kwai.com/@cironogueiraoficial | HTTPS://WWW.THREADS.COM/@CIRONOGUEIRAPIAUI | https://www.instagram.com/teresinacomciro/ | HTTPS://WWW.INSTAGRAM.COM/CIRONOGUEIRAPIAUI/ | https://www.instagram.com/cirosenadordagente | https://www.instagram.com/tocomciropi | https://music.amazon.com.br/artists/B0HFFJQRRY | https://tidal.com/artist/83597958 | https://chat.whatsapp.com/B6hMy7RfQ0k7un03Q3DxBa?s=cl&p=i&mlu=4&ilr=4 | https://tocomciro111.com/ | HTTPS://WWW.THREADS.COM/@CIRONOGUEIRA | HTTPS://CIRONOGUEIRA.COM.BR | https://www.instagram.com/cocadadociro?igsi=MXBwenpob2NmMWpxbA%3D%3D&utm_source=qr | https://whatsapp.com/channel/0029VbARor0HLHQf2aED720Y | https://open.spotify.com/intl-pt/artist/7dlUudRIBl00BrqUIrC58m?si=6PqkrvdLSj-drG5bMv0sHQ | HTTPS://X.COM/CIRO_NOGUEIRA | HTTPS://CIRONOGUEIRA.COM.BR/ | HTTPS://WWW.YOUTUBE.COM/@CIRONOGUEIRAOFICIAL | https://www.facebook.com/cironogueirapiaui | HTTPS://WWW.FACEBOOK.COM/CIRONOGUEIRA/?LOCALE=PT_BR | HTTPS://X.COM/CIRONOGUEIRAPI | https://www.instagram.com/amigosdociropi/ | https://linktr.ee/cironogueira111 | https://drive.google.com/drive/u/2/folders/137daWEoQ4ISC6pswO66zgLU5-sAHjNp7 | https://www.instagram.com/parnaibacomciro/ | https://www.instagram.com/cironogueira/ | https://www.instagram.com/florianocomciro/,34610258.62,3818280.53,1464650.97,1132833.56,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002540446/2026/PI
180002551953,Ensino Médio incompleto,Outros,Solteiro(a),PARDA,1977-05-03,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002551953/PI,https://www.instagram.com/ariana.soares.16/ | https://www.instagram.com/bancadafeminista.pi/,,15028.1,8980,6680,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002551953/2026/PI
180002536234,Superior completo,Outros,Casado(a),BRANCA,1957-12-30,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536234/PI,HTTPS://WWW.INSTAGRAM.COM/THEMISTOCLESFILHOPI/ | HTTPS://WWW.TIKTOK.COM/@THEMISTOCLESFILHO | HTTPS://WWW.FACEBOOK.COM/THEMISTOCLESFILHOPI,1227790.42,617000,246934.26,83957.26,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536234/2026/PI
180002536229,Superior completo,Deputado,Casado(a),BRANCA,1969-01-08,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536229/PI,HTTPS://K.KWAI.COM/U/@GESSIVALDOISAIAS/70ECUXH0 | HTTPS://WWW.THREADS.COM/@GESSIVALDOISAIAS | HTTPS://GESSIVALDOISAIAS.COM.BR/ | https://youtube.com/@gessivaldoisaias3309?si=hDlHLQIgx1kkixoc | HTTPS://WWW.FACEBOOK.COM/GESSIVALDOISAIAS | HTTPS://WWW.TIKTOK.COM/@GESSIVALDO.ISAIAS?_R=1&_T=ZS-98F7KKFCWSW | HTTPS://WWW.INSTAGRAM.COM/GESSIVALDOISAIAS | HTTPS://WWW.FACEBOOK.COM/SHARE/194JLYA1X8/ | HTTPS://WWW.KWAI.COM/@GESSIVALDOISAIAS,308010,250015.25,183866.49,96381.53,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536229/2026/PI
180002536232,Ensino Médio completo,Policial Militar,Solteiro(a),PARDA,1973-10-23,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536232/PI,HTTPS://WWW.FACEBOOK.COM/JUNIOR.TRINCA.9/ | HTTPS://WWW.INSTAGRAM.COM/JUNIOR.TRINCA.9,15400,100000,16970,4470,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536232/2026/PI
180002536222,Superior incompleto,Diretor de Empresas,Casado(a),BRANCA,1961-11-05,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536222/PI,HTTPS://WWW.INSTAGRAM.COM/MAURO_TAPETY_/,477887.14,241840,123503.95,71587.67,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536222/2026/PI
180002536228,Superior completo,Advogado,Divorciado(a),PARDA,1974-04-02,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002536228/PI,HTTPS://WWW.FACEBOOK.COM/ZIZACARVALHOPI | HTTPS://ZIZACARVALHO.COM.BR/ | HTTPS://WWW.INSTAGRAM.COM/ZIZA_CARVALHO_OFICIAL/,2521679.7600000002,240840,215730,10000,12/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002536228/2026/PI
180002553972,Ensino Médio completo,Policial Militar,Solteiro(a),PARDA,1977-04-30,https://divulgacandcontas.tse.jus.br/divulga/rest/arquivo/img/20322002026/180002553972/PI,HTTPS://WWW.INSTAGRAM.COM/SOUELIZANGELA77?IGSH=BHEXDW5HM2ZMN2Y3,453012,50000,1340,1340,13/09/2026,https://divulgacandcontas.tse.jus.br/divulga/#/candidato/NORDESTE/PI/20322002026/180002553972/2026/PI
